		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010000111   13   13   13   17   17   14   14   18  2.135583 0.976571 SUCCESS  53
010001011   22   24   25   19   22   20   22   26 33.897373 0.000042 FAILURE  54
010001111   21   14   19   18   13   16   15   16  4.711140 0.787956 SUCCESS  55
010010011   16   17   19   16   17   17   16   14  2.229038 0.973173 SUCCESS  56
010010111   12   16   15   13   13   14   18   16  1.993918 0.981198 SUCCESS  57
010011011    8    6    5    6    6    6    9    7 39.380565 0.000004 FAILURE  58
010011111   12   11   17   11   17   11   13   16  4.803787 0.778327 SUCCESS  59
010100011   12   13   11   10    8   14   12   12  8.358880 0.399222 SUCCESS  60
010100111    9   10   12    6   14    8    9   10 17.985101 0.021338 SUCCESS  61
010101011   28   28   28   30   28   28   30   28 101.142489 0.000000 FAILURE  62
010101111   20   17   14   21   25   12   12   19 13.827259 0.086380 SUCCESS  63
010110011   22   19   24   22   19   17   25   20 23.532662 0.002744 FAILURE  64
010110111    7   10    8   19    7    9   12   13 18.343035 0.018797 SUCCESS  65
010111011    5   10    9    7   11    9    7   10 25.136763 0.001474 FAILURE  66
010111111   18   14   17   14   14   10   11   17  4.196459 0.838977 SUCCESS  67
011000111   21   29   16   25   17   24   20   21 33.125756 0.000058 FAILURE  68
011001111   17   21   18   20   21   23   22   20 17.178203 0.028306 SUCCESS  69
011010111    9    7   11   11    7    4   12    4 30.715834 0.000158 FAILURE  70
011011111    9    8   12   12    9    9   11    9 15.573833 0.048902 SUCCESS  71
011101111   12   16   14   15   14   15   12   11  2.530413 0.960298 SUCCESS  72
011111111   12    7   11    7   12   10    9    9 17.776374 0.022967 SUCCESS  73
100000000   28   25   25   22   27   26   21   24 55.304956 0.000000 FAILURE  74
